Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560251079910479,0.881364398224107,-0.4811910860648746
US-Vcm,Post,GPP,0.8849667702133144,0.9180748689014893,0.6419636526836681
US-Vcm,Prior,NEE,0.5976507399758482,0.6499227228469372,-0.046742548623508455
US-Vcm,Post,NEE,0.6763028812942922,0.7466729943218163,0.5319126279349042
US-Vcm,Prior,Reco,0.7024891469667564,0.7622452684749825,-0.028110118660399842
US-Vcm,Post,Reco,0.7120100898148729,0.765908393101183,-0.6849982178449918
US-Vcp,Prior,GPP,0.6242204775218858,0.6498993446808289,0.8446211471502683
US-Vcp,Post,GPP,0.6692730856413099,0.6395650872724238,0.7155917656822225
US-Vcp,Prior,NEE,0.27600667621195224,0.36660609464003363,0.9582493145638453
US-Vcp,Post,NEE,0.10322610018624631,0.13474244399038846,0.8487517333714146
US-Vcp,Prior,Reco,0.7483643324526366,0.7038754635642963,0.6452017372144829
US-Vcp,Post,Reco,0.869811710140337,0.7858726510088204,0.5856306123737454
US-Mpj,Prior,GPP,0.5179070065442177,0.5693850582550657,0.5699165590641496
US-Mpj,Post,GPP,0.6293547943699007,0.6536308011508838,0.42624185033327217
US-Mpj,Prior,NEE,0.3367969105767046,0.3790406857831724,0.19821621541055917
US-Mpj,Post,NEE,-0.309198179411297,-0.3323844976801646,-0.20805570985722008
US-Mpj,Prior,Reco,0.5949842865170533,0.6265461532126658,0.1307885679399507
US-Mpj,Post,Reco,0.8298187108031215,0.8559154964188989,0.7304792037831241
US-Fuf,Prior,GPP,0.7726269064136347,0.8024212786558947,-0.14690080952549364
US-Fuf,Post,GPP,0.8655873540520458,0.8909594400793684,0.04704962224078934
US-Fuf,Prior,NEE,0.5625491004342843,0.5880079676359025,0.33143006831113664
US-Fuf,Post,NEE,0.7178033044794837,0.748225321446184,0.08513983329628681
US-Fuf,Prior,Reco,0.8748537025021613,0.9037807702177967,0.10547021910798322
US-Fuf,Post,Reco,0.9045199843336608,0.9315022502917794,0.6427261987292648
US-Wjs,Prior,GPP,0.6956767287095371,0.7102880570919057,0.7131073210777382
