Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.8510885253003266,0.8795463406060636,0.6363898514211782
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.517840638882567,0.5785006522485037,0.05591667195444997
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.696761871431244,0.7533391190224337,-0.057564268049176054
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.758432472942921,0.7445256754054017,0.758526221890893
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.5169556366455084,0.577041925368165,0.8818836347454427
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.7389454721390747,0.6879347218428484,0.5836090199536716
US-Mpj,Prior,GPP,0.5462382369988197,0.5949246368224748,0.4404444719308003
US-Mpj,Post,GPP,0.7237643791099792,0.7647319025774055,0.6578923795194679
US-Mpj,Prior,NEE,0.17337876251052717,0.19078315246420358,-0.09979598350575265
US-Mpj,Post,NEE,0.2655784805866404,0.3085079755217859,0.010251523946189226
US-Mpj,Prior,Reco,0.6454153431148181,0.6776949075765534,0.13531378203495123
US-Mpj,Post,Reco,0.7224858879236103,0.7502822449266349,0.5251124420357685
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.8766476512630963,0.8948860301249333,-0.32276291400355567
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.7786983129372027,0.7977613717153408,0.24768925260766286
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.9028239083299144,0.9315901842015321,0.3339181533665769
US-Wjs,Prior,GPP,0.6372577174515165,0.6475930101728744,0.4871951422975449
US-Wjs,Post,GPP,0.9028622099176784,0.9194432023554173,0.8838483223265592
US-Wjs,Prior,NEE,0.26956213458846273,0.27419373990459844,0.3753261058835545
US-Wjs,Post,NEE,0.2792433935093145,0.2674196940549699,0.015267575521047155
US-Wjs,Prior,Reco,0.7277241407516577,0.7413554607636067,0.17621462948012223
US-Wjs,Post,Reco,0.8756165941453202,0.892246631535369,0.4876042344431566
US-Ses,Prior,GPP,0.7243033924249498,0.7696625612150609,0.7465197185874406
US-Ses,Post,GPP,0.8150964961406956,0.8582600379772797,0.7647993534199495
US-Ses,Prior,NEE,0.35946882370283056,0.3990053064342745,0.3639293477507427
US-Ses,Post,NEE,0.4803202893586522,0.5196650415254466,0.6335477994409735
US-Ses,Prior,Reco,0.646397375015299,0.7119259111214089,0.6030251984412306
US-Ses,Post,Reco,0.6727062212045322,0.7368536531762322,0.40691720004211185
US-Wkg,Prior,GPP,-0.061892021219923814,-0.08014995571746697,-0.493335576759026
US-Wkg,Post,GPP,-0.05246781192740995,-0.06879778194140836,-0.4293044841940757
US-Wkg,Prior,NEE,-0.01593220041518987,-0.03433468940200713,-0.4231390279212351
US-Wkg,Post,NEE,-0.007693121684034709,-0.02224340032900635,-0.27431021573825715
US-Wkg,Prior,Reco,0.30386538493417997,0.32654573772961387,-0.31373245982737574
US-Wkg,Post,Reco,0.3119974574436016,0.33492794102056467,-0.3663476270162012
US-SRG,Prior,GPP,0.45757558219525823,0.4805818206577757,0.46246048926428285
US-SRG,Post,GPP,0.7824322126398485,0.8059923690471743,0.7347927823853213
US-SRG,Prior,NEE,0.4577105631554123,0.520873316916084,0.9232508479455336
US-SRG,Post,NEE,0.6221017535564921,0.676109897451028,0.7471510136693997
US-SRG,Prior,Reco,0.6073688682354853,0.6358194463537915,-0.299767751514728
US-SRG,Post,Reco,0.8528513956841587,0.8796935229741809,0.47437455386789584
US-SRM,Prior,GPP,0.25221431936901073,0.2663517975968248,0.23388171832631865
US-SRM,Post,GPP,0.7007485252889519,0.726283462819704,0.434590051937471
US-SRM,Prior,NEE,0.25700100310177476,0.270695111491118,0.49188905228935276
US-SRM,Post,NEE,0.46333922949013356,0.5018303739861487,0.2675588147853434
US-SRM,Prior,Reco,0.5362362419269503,0.5649878030151753,-0.2702923406801224
US-SRM,Post,Reco,0.8011692654303969,0.821571147799603,-0.27947550193682424
US-Whs,Prior,GPP,0.2597975972607187,0.2709419473604357,-0.2030186081004438
US-Whs,Post,GPP,0.41424228386990897,0.4350043239157239,-0.07928548830126732
US-Whs,Prior,NEE,0.17940038915147366,0.16275692617154383,-0.49069263304875577
US-Whs,Post,NEE,0.2849857079000811,0.28316938462235214,-0.4828786295551196
US-Whs,Prior,Reco,0.4861967536149699,0.523410302700566,0.1731168996525107
US-Whs,Post,Reco,0.6036775033610113,0.6481473985913485,0.4523491840811409
US-Seg,Prior,GPP,0.48086896169428023,0.5093503458117035,0.01869022523995829
US-Seg,Post,GPP,0.6611257805751725,0.6837693227181605,0.2929532304618982
US-Seg,Prior,NEE,0.3617446888418494,0.40720866727902055,0.4382212561340106
US-Seg,Post,NEE,0.5047796024691911,0.5440781765337707,0.6519835228219246
US-Seg,Prior,Reco,0.555309654572249,0.5794133882527898,-0.16088831915509005
US-Seg,Post,Reco,0.6649841233272161,0.6841552668818652,-0.011035157606810444
US-Aud,Prior,GPP,0.6507589041935504,0.6806738569602222,0.0801064006304548
US-Aud,Post,GPP,0.8563523082636554,0.8759100315942729,0.866500737458156
US-Aud,Prior,NEE,0.5671458258903407,0.5949211565262275,0.6278379036300277
US-Aud,Post,NEE,0.7597124298383431,0.7751865793702606,0.9896826196609587
US-Aud,Prior,Reco,0.642380399638787,0.6790610916362678,0.4984948881087055
US-Aud,Post,Reco,0.68234094138746,0.7176942040978143,0.518518247677056
