Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.8954449504876091,0.9228078235734631,-0.47649167043884627
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.6682807700755896,0.725503351646396,0.2161007075169229
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.6949985879442842,0.7540076765468903,-0.03455818386703105
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.7405333415627611,0.7220755752573209,0.8630915766868502
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.6527316276246748,0.6933995654958376,0.9456167248895219
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.7095401676045662,0.651357719190777,0.6698594879707406
US-Mpj,Prior,GPP,0.5179070065442177,0.5693850582550657,0.5699165590641496
US-Mpj,Post,GPP,0.678135978375701,0.7132099988594414,0.7759320716631964
US-Mpj,Prior,NEE,0.3367969105767046,0.3790406857831724,0.19821621541055917
US-Mpj,Post,NEE,0.6661048546745635,0.699250823902496,0.39249564806418036
US-Mpj,Prior,Reco,0.5949842865170533,0.6265461532126658,0.1307885679399507
US-Mpj,Post,Reco,0.5846850433978512,0.6164992204545806,0.2521298788273701
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.844001739866154,0.8657197117446707,-0.21610653738937055
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.7607144565220839,0.7873682691965233,0.41982269901994745
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.8644851264740061,0.8924754174662364,0.13381013916472562
US-Wjs,Prior,GPP,0.6956767287095371,0.7102880570919057,0.7131073210777382
US-Wjs,Post,GPP,0.8300742588831497,0.8477159264200865,0.8903856439610126
US-Wjs,Prior,NEE,0.312740055070484,0.3236400431038805,0.4679149788340714
US-Wjs,Post,NEE,0.5652548746985568,0.5759192612616071,0.12659992482730897
US-Wjs,Prior,Reco,0.7801653184090286,0.7947233759611984,0.3929620393625667
US-Wjs,Post,Reco,0.8274455407099305,0.8459866076777128,0.600896137771304
US-Ses,Prior,GPP,0.733265052333075,0.7810121116943011,0.7482528690090192
US-Ses,Post,GPP,0.7344618659520507,0.771173643389562,0.7827849491651323
US-Ses,Prior,NEE,0.38942730719470864,0.4326541906863083,0.3923273525289611
US-Ses,Post,NEE,0.6180865785501669,0.6766296088249583,0.7541420756150179
US-Ses,Prior,Reco,0.6559902681666403,0.7244458868032292,0.656979679390557
US-Ses,Post,Reco,0.5681139987474465,0.6291646387116585,0.42294414946585
US-Wkg,Prior,GPP,-0.06189927000219735,-0.08017314815161747,-0.4962350617543206
US-Wkg,Post,GPP,0.635991085857915,0.6737571796199612,-0.16277951749231984
US-Wkg,Prior,NEE,-0.015900815560734926,-0.03438130056425728,-0.42737313574747376
US-Wkg,Post,NEE,0.4697338179616741,0.507358571234147,-0.2377155740799897
US-Wkg,Prior,Reco,0.30389626538870573,0.3266388269016932,-0.31099881995549883
US-Wkg,Post,Reco,0.6795156980040864,0.7182015663084984,-0.048566053348075455
US-SRG,Prior,GPP,0.4000220076179358,0.416694736121425,0.41344022101697625
US-SRG,Post,GPP,0.7252582073432191,0.7424504716495333,0.6391902629662366
US-SRG,Prior,NEE,0.4092789121240753,0.4540492932685058,0.8944920336356283
US-SRG,Post,NEE,0.6955132012759562,0.7531115811003951,0.7840559754710272
US-SRG,Prior,Reco,0.5769597036322679,0.6049255355844273,-0.42039634318615493
US-SRG,Post,Reco,0.711248541710727,0.7384909115938594,-0.5355592528295446
US-SRM,Prior,GPP,0.26386477350350834,0.2717813611868561,0.22172147761384367
US-SRM,Post,GPP,0.8578994148963337,0.8787236900089954,0.6712063169086898
US-SRM,Prior,NEE,0.24727909029657452,0.25099379503590347,0.5143523574380012
US-SRM,Post,NEE,0.7315414699042678,0.7704544399524664,0.5963731311732078
US-SRM,Prior,Reco,0.5537201792369529,0.5783705284160352,-0.31340333676406207
US-SRM,Post,Reco,0.7818724408298894,0.8065246885645468,-0.15589041657065622
US-Whs,Prior,GPP,0.25935733428887753,0.2708247250287397,-0.17735764675906698
US-Whs,Post,GPP,0.5624269362628329,0.6030615888141982,0.3289745138962737
US-Whs,Prior,NEE,0.17931723959119783,0.1638944122723383,-0.5122831606888285
US-Whs,Post,NEE,0.26603698226096817,0.2565334547875883,0.2848937147893678
US-Whs,Prior,Reco,0.4848367522559803,0.5219692280799234,0.20737807755483806
US-Whs,Post,Reco,0.6937371469542594,0.743496032799762,0.45773372343946206
US-Seg,Prior,GPP,0.5380787643785746,0.5780372114750236,0.16880045703210803
US-Seg,Post,GPP,0.7557931996750602,0.7763225957429016,0.734454932551119
US-Seg,Prior,NEE,0.4134450188767159,0.4720811590059354,0.5325214556005016
US-Seg,Post,NEE,0.6982193204209912,0.7340577715483647,0.8919780255925284
US-Seg,Prior,Reco,0.606223031218253,0.6355847282861663,-0.020848987504854154
US-Seg,Post,Reco,0.7194437917914938,0.7463125844190249,0.6114330947869978
US-Aud,Prior,GPP,0.782265890557481,0.8007021312134893,0.6942116044485392
US-Aud,Post,GPP,0.8908751846251203,0.9063037088462584,0.6307091543609932
US-Aud,Prior,NEE,0.7160592869662807,0.7276542940649438,0.943263233303215
US-Aud,Post,NEE,0.8101881140174472,0.8258492215693147,0.796397615982199
