Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.8396442858838978,0.8687292570341236,0.7431454430732436
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.4910010220545011,0.5512685154568743,-0.4340499892225517
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.6904861784755716,0.7451341096206369,-0.27835153456032047
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.7561817563043821,0.7239045204970457,0.8126063805688286
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.448323147807755,0.4963772444462929,0.7416592883261662
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.770622097070602,0.705733950678718,0.7175627245505672
US-Mpj,Prior,GPP,0.5462382369988197,0.5949246368224748,0.4404444719308003
US-Mpj,Post,GPP,0.7525974327571977,0.781950242081717,0.6558977873662952
US-Mpj,Prior,NEE,0.17337876251052717,0.19078315246420358,-0.09979598350575265
US-Mpj,Post,NEE,-0.025451569067233545,-0.03353898797771192,-0.003132463991441495
US-Mpj,Prior,Reco,0.6454153431148181,0.6776949075765534,0.13531378203495123
US-Mpj,Post,Reco,0.8123422734141169,0.8400313246492056,0.6382121280314028
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.8735227531402138,0.8939350576999063,-0.08310058534813271
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.7496823300173447,0.7696357517906236,0.42195959844501646
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.9069668039213888,0.9353598770015098,0.47962218927229
US-Wjs,Prior,GPP,0.6372577174515165,0.6475930101728744,0.4871951422975449
US-Wjs,Post,GPP,0.9187092327052588,0.9356664483460405,0.8758241960531733
US-Wjs,Prior,NEE,0.26956213458846273,0.27419373990459844,0.3753261058835545
US-Wjs,Post,NEE,0.2408384770993299,0.2228095268962213,-0.0743194800364357
US-Wjs,Prior,Reco,0.7277241407516577,0.7413554607636067,0.17621462948012223
US-Wjs,Post,Reco,0.9084167305832874,0.9279245037397439,0.7152085659872076
US-Ses,Prior,GPP,0.7243033924249498,0.7696625612150609,0.7465197185874406
US-Ses,Post,GPP,0.8381858194032497,0.8646913084547371,0.8014033670925474
US-Ses,Prior,NEE,0.35946882370283056,0.3990053064342745,0.3639293477507427
US-Ses,Post,NEE,0.39160581914545745,0.4026030014286121,0.6114640297737938
US-Ses,Prior,Reco,0.646397375015299,0.7119259111214089,0.6030251984412306
US-Ses,Post,Reco,0.7214378716945127,0.7804356650202806,0.531985153426188
US-Wkg,Prior,GPP,-0.061892021219923814,-0.08014995571746697,-0.493335576759026
US-Wkg,Post,GPP,-0.05411877762815733,-0.07045804542787362,-0.43187943582551575
US-Wkg,Prior,NEE,-0.01593220041518987,-0.03433468940200713,-0.4231390279212351
US-Wkg,Post,NEE,-0.010471923126148275,-0.025165601647812303,-0.2818511075320508
US-Wkg,Prior,Reco,0.30386538493417997,0.32654573772961387,-0.31373245982737574
US-Wkg,Post,Reco,0.3138997288538088,0.3370204944954378,-0.35555474486885486
US-SRG,Prior,GPP,0.45757558219525823,0.4805818206577757,0.46246048926428285
US-SRG,Post,GPP,0.7845172380423242,0.8065666105396502,0.7310052625630785
US-SRG,Prior,NEE,0.4577105631554123,0.520873316916084,0.9232508479455336
US-SRG,Post,NEE,0.6221212862101257,0.6730295358411399,0.740351734365014
US-SRG,Prior,Reco,0.6073688682354853,0.6358194463537915,-0.299767751514728
US-SRG,Post,Reco,0.8531727144082057,0.8798632866227111,0.48644335874926437
US-SRM,Prior,GPP,0.25221431936901073,0.2663517975968248,0.23388171832631865
US-SRM,Post,GPP,0.6910474014840902,0.7188649178714799,0.5204165489763789
US-SRM,Prior,NEE,0.25700100310177476,0.270695111491118,0.49188905228935276
US-SRM,Post,NEE,0.36720307657035417,0.383006231919324,0.1683817231212498
US-SRM,Prior,Reco,0.5362362419269503,0.5649878030151753,-0.2702923406801224
US-SRM,Post,Reco,0.8413099428238632,0.8616913695506426,-0.11625477297947637
US-Whs,Prior,GPP,0.2597975972607187,0.2709419473604357,-0.2030186081004438
US-Whs,Post,GPP,0.4108818347266955,0.43687855722326907,-0.05876731673410203
US-Whs,Prior,NEE,0.17940038915147366,0.16275692617154383,-0.49069263304875577
US-Whs,Post,NEE,0.26018203393380884,0.2617196858284545,-0.48247299145163747
US-Whs,Prior,Reco,0.4861967536149699,0.523410302700566,0.1731168996525107
US-Whs,Post,Reco,0.6123220018252181,0.6596347663595159,0.45430775934977874
US-Seg,Prior,GPP,0.48086896169428023,0.5093503458117035,0.01869022523995829
US-Seg,Post,GPP,0.6983663211065471,0.717006028586492,0.35034541636012334
US-Seg,Prior,NEE,0.3617446888418494,0.40720866727902055,0.4382212561340106
US-Seg,Post,NEE,0.5371748040718027,0.5781499645356449,0.7315860577690668
US-Seg,Prior,Reco,0.555309654572249,0.5794133882527898,-0.16088831915509005
US-Seg,Post,Reco,0.6913180500558574,0.7036698902944152,-0.05230369847349018
US-Aud,Prior,GPP,0.6507589041935504,0.6806738569602222,0.0801064006304548
US-Aud,Post,GPP,0.834651321139412,0.8483434571916316,0.5423791166012688
US-Aud,Prior,NEE,0.5671458258903407,0.5949211565262275,0.6278379036300277
US-Aud,Post,NEE,0.7240284246567529,0.7260001608069327,0.7677337797651171
US-Aud,Prior,Reco,0.642380399638787,0.6790610916362678,0.4984948881087055
US-Aud,Post,Reco,0.7355417599204696,0.7698580110655838,0.6983213990615741
