Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.9186052793268605,0.9375789492459529,0.8556955177198421
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.8268101862815688,0.8620736389974972,0.6503709349383665
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.6181035144660105,0.6832484199268729,0.018146958199660584
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.8163065948335134,0.7631639614131162,0.7892550793079123
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.7522608005061819,0.7726235463932974,0.8066823525441301
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.6948997989892238,0.6499932149887819,0.6489407709154718
US-Mpj,Prior,GPP,0.546362243357371,0.594962202965232,0.4394980462962331
US-Mpj,Post,GPP,0.6817028239431566,0.7146995951647641,0.7041092775661523
US-Mpj,Prior,NEE,0.17345981428554932,0.19095537147332556,-0.10204810161389641
US-Mpj,Post,NEE,0.6593296475894477,0.6885959746530019,0.06810198321850595
US-Mpj,Prior,Reco,0.6455696609789654,0.6778280470430011,0.13569573550443692
US-Mpj,Post,Reco,0.6208373903863155,0.6578435327648726,0.5888280811990336
US-Fuf,Prior,GPP,0.7731812236246949,0.8029620228754837,-0.13532799390659508
US-Fuf,Post,GPP,0.9000581338329552,0.9189270818930626,-0.10969327668182803
US-Fuf,Prior,NEE,0.5620934501796643,0.5875000029884311,0.3421336928018255
US-Fuf,Post,NEE,0.8785582772912589,0.9028781104953622,0.6808121826943477
US-Fuf,Prior,Reco,0.875097734411478,0.9040003623052408,0.10474238201679821
US-Fuf,Post,Reco,0.8782057378309696,0.9109182390215834,0.07071741427833274
US-Wjs,Prior,GPP,0.6370953140945816,0.6473507818045531,0.48667106454956516
US-Wjs,Post,GPP,0.8932376575143819,0.9135117908067873,0.8531715153404988
US-Wjs,Prior,NEE,0.27072286132706824,0.27504949748509494,0.37598403067551855
US-Wjs,Post,NEE,0.5730002455345692,0.5806965836139363,0.21755795540439613
US-Wjs,Prior,Reco,0.7274915340686109,0.7411889498825092,0.17548030057199568
US-Wjs,Post,Reco,0.8572728732178891,0.875125231606734,0.4376361345576085
US-Ses,Prior,GPP,0.7229444365539311,0.7685246851659213,0.7541094103493369
US-Ses,Post,GPP,0.7455485170630218,0.7729664596114453,0.5852854582187266
US-Ses,Prior,NEE,0.3537306331352673,0.39410878452115633,0.3643943203203502
US-Ses,Post,NEE,0.6997637944604534,0.7574580472996073,0.8215624622796401
US-Ses,Prior,Reco,0.6464203068219849,0.7110047337808557,0.6010252394878515
US-Ses,Post,Reco,0.5356831403843839,0.583765152677769,0.08528430133350136
US-Wkg,Prior,GPP,-0.06189927000219735,-0.08017314815161747,-0.4962350617543206
US-Wkg,Post,GPP,0.6832218415328764,0.7251164479468528,-0.16060190075010258
US-Wkg,Prior,NEE,-0.015900815560734926,-0.03438130056425728,-0.42737313574747376
US-Wkg,Post,NEE,0.4713165050244346,0.5071332704623802,-0.3543467046852901
US-Wkg,Prior,Reco,0.30389626538870573,0.3266388269016932,-0.31099881995549883
US-Wkg,Post,Reco,0.7305215233951743,0.7713038125742274,0.03986210239150792
US-SRG,Prior,GPP,0.46013308392871355,0.48374699012570016,0.46804914721796903
US-SRG,Post,GPP,0.85501858404653,0.8731615443009284,0.9304033368266923
US-SRG,Prior,NEE,0.459477235266902,0.5227122654510626,0.921797745069495
US-SRG,Post,NEE,0.7354245334604043,0.775904403930379,0.8898445619572324
US-SRG,Prior,Reco,0.6081398605013147,0.6371588953035904,-0.2990778194270885
US-SRG,Post,Reco,0.8674657426639413,0.8911734377651543,0.4235019316047205
US-SRM,Prior,GPP,0.2702619312886518,0.28508993949058303,0.23907107044218043
US-SRM,Post,GPP,0.8615651920493899,0.87555210827284,0.6907540816718044
US-SRM,Prior,NEE,0.27462688575918426,0.2897841335093353,0.5071230492155119
US-SRM,Post,NEE,0.7408306984831226,0.7631476883893118,0.4568720611774611
US-SRM,Prior,Reco,0.541738004579715,0.5713822359036523,-0.28579199471943206
US-SRM,Post,Reco,0.7716790271792373,0.7937459488984312,-0.09103642961806567
US-Whs,Prior,GPP,0.2597975972607187,0.2709419473604357,-0.2030186081004438
US-Whs,Post,GPP,0.501664689106355,0.5346914522228966,0.257560170763218
US-Whs,Prior,NEE,0.17940038915147366,0.16275692617154383,-0.49069263304875577
US-Whs,Post,NEE,0.40729957606981954,0.421355998568597,0.06202252802638435
US-Whs,Prior,Reco,0.4861967536149699,0.523410302700566,0.1731168996525107
US-Whs,Post,Reco,0.6260602481199016,0.668563467213247,0.41377192002380736
US-Seg,Prior,GPP,0.48086896169428023,0.5093503458117035,0.01869022523995829
US-Seg,Post,GPP,0.7143923959276393,0.7391777913258571,0.4970430030849488
US-Seg,Prior,NEE,0.3617446888418494,0.40720866727902055,0.4382212561340106
US-Seg,Post,NEE,0.626149355740272,0.6752460576596188,0.7699355107422043
US-Seg,Prior,Reco,0.555309654572249,0.5794133882527898,-0.16088831915509005
US-Seg,Post,Reco,0.7007025542311583,0.7237798726927457,0.3226898855272492
US-Aud,Prior,GPP,0.6507589041935504,0.6806738569602222,0.0801064006304548
US-Aud,Post,GPP,0.871631906059136,0.889516014285313,0.8151128532972782
US-Aud,Prior,NEE,0.5671458258903407,0.5949211565262275,0.6278379036300277
US-Aud,Post,NEE,0.8086828703134233,0.8234052765984764,0.9341530560225781
US-Aud,Prior,Reco,0.642380399638787,0.6790610916362678,0.4984948881087055
US-Aud,Post,Reco,0.6146838630427727,0.6564678579784752,0.5665149427678752
