Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560251079910479,0.881364398224107,-0.4811910860648746
US-Vcm,Post,GPP,0.8951150405720413,0.9216800234113245,-0.6212473173092485
US-Vcm,Prior,NEE,0.5976507399758482,0.6499227228469372,-0.046742548623508455
US-Vcm,Post,NEE,0.757100031692445,0.8114102034311856,0.23649278768641635
US-Vcm,Prior,Reco,0.7024891469667564,0.7622452684749825,-0.028110118660399842
US-Vcm,Post,Reco,0.6991974487970304,0.7529706337648415,-0.012229966113101674
US-Vcp,Prior,GPP,0.6242204775218858,0.6498993446808289,0.8446211471502683
US-Vcp,Post,GPP,0.7333914962924788,0.7210485512078587,0.808507832933862
US-Vcp,Prior,NEE,0.27600667621195224,0.36660609464003363,0.9582493145638453
US-Vcp,Post,NEE,0.6708212524766065,0.7153071651855121,0.9641092934283225
US-Vcp,Prior,Reco,0.7483643324526366,0.7038754635642963,0.6452017372144829
US-Vcp,Post,Reco,0.6435372754355153,0.5872156972527909,0.5327025558297103
US-Mpj,Prior,GPP,0.5179070065442177,0.5693850582550657,0.5699165590641496
US-Mpj,Post,GPP,0.734730495254484,0.7692664788421828,0.8479023915696356
US-Mpj,Prior,NEE,0.3367969105767046,0.3790406857831724,0.19821621541055917
US-Mpj,Post,NEE,0.6756206915621901,0.7039967988094735,0.34790699968516525
US-Mpj,Prior,Reco,0.5949842865170533,0.6265461532126658,0.1307885679399507
US-Mpj,Post,Reco,0.7111378030711692,0.7443913829249074,0.6415338058182907
US-Fuf,Prior,GPP,0.7726269064136347,0.8024212786558947,-0.14690080952549364
US-Fuf,Post,GPP,0.8446709940116421,0.8681781726655532,-0.24736898750399924
US-Fuf,Prior,NEE,0.5625491004342843,0.5880079676359025,0.33143006831113664
US-Fuf,Post,NEE,0.8337969131908333,0.8591789910543283,0.41505790571434614
US-Fuf,Prior,Reco,0.8748537025021613,0.9037807702177967,0.10547021910798322
US-Fuf,Post,Reco,0.8268590383367189,0.861084028522897,0.28028800699029155
US-Wjs,Prior,GPP,0.6956767287095371,0.7102880570919057,0.7131073210777382
US-Wjs,Post,GPP,0.8592203299167259,0.881719755272595,0.9291099532252804
US-Wjs,Prior,NEE,0.312740055070484,0.3236400431038805,0.4679149788340714
US-Wjs,Post,NEE,0.647581980284604,0.6730299743747958,0.536106115220396
US-Wjs,Prior,Reco,0.7801653184090286,0.7947233759611984,0.3929620393625667
US-Wjs,Post,Reco,0.878999801158716,0.8965811338236718,0.6465033632487848
US-Ses,Prior,GPP,0.733265052333075,0.7810121116943011,0.7482528690090192
US-Ses,Post,GPP,0.7078254933766093,0.7376247992973348,0.6363183032196752
US-Ses,Prior,NEE,0.38942730719470864,0.4326541906863083,0.3923273525289611
US-Ses,Post,NEE,0.6928694859444168,0.74590669128314,0.8333284248879363
US-Ses,Prior,Reco,0.6559902681666403,0.7244458868032292,0.656979679390557
US-Ses,Post,Reco,0.5661779653086889,0.6145449943678262,0.11186811912043179
US-Wkg,Prior,GPP,-0.06189927000219735,-0.08017314815161747,-0.4962350617543206
US-Wkg,Post,GPP,0.6440765275059811,0.6808510483213351,-0.04358695983257146
US-Wkg,Prior,NEE,-0.015900815560734926,-0.03438130056425728,-0.42737313574747376
US-Wkg,Post,NEE,0.48715590777039314,0.5291655167359653,-0.19588470869260477
US-Wkg,Prior,Reco,0.30389626538870573,0.3266388269016932,-0.31099881995549883
US-Wkg,Post,Reco,0.665412954085109,0.7017352144349038,0.06258651801808161
US-SRG,Prior,GPP,0.4000220076179358,0.416694736121425,0.41344022101697625
US-SRG,Post,GPP,0.7257567677634869,0.74093313564848,0.7447537972857651
US-SRG,Prior,NEE,0.4092789121240753,0.4540492932685058,0.8944920336356283
US-SRG,Post,NEE,0.7158367639713167,0.7629524209811316,0.8543260362849106
US-SRG,Prior,Reco,0.5769597036322679,0.6049255355844273,-0.42039634318615493
US-SRG,Post,Reco,0.6990717239550329,0.7270170966406699,-0.5552242581015373
US-SRM,Prior,GPP,0.26386477350350834,0.2717813611868561,0.22172147761384367
US-SRM,Post,GPP,0.8669734797202597,0.8851171058327143,0.6625484236101736
US-SRM,Prior,NEE,0.24727909029657452,0.25099379503590347,0.5143523574380012
US-SRM,Post,NEE,0.7240465657464169,0.7612107739690427,0.5613909926693902
US-SRM,Prior,Reco,0.5537201792369529,0.5783705284160352,-0.31340333676406207
US-SRM,Post,Reco,0.7802081329119719,0.8075600528735539,-0.1616379021364693
US-Whs,Prior,GPP,0.2618471351768994,0.27494918465249135,-0.17207166954434844
US-Whs,Post,GPP,0.22834826189574947,0.24329083397283022,0.05568122668244806
US-Whs,Prior,NEE,0.1822290079466732,0.16718777262720386,-0.500273920446797
US-Whs,Post,NEE,0.3297428477714791,0.35137779635362615,0.07346206550717956
US-Whs,Prior,Reco,0.4862241276834673,0.5248945544181238,0.20919559149922312
US-Whs,Post,Reco,0.20857092831381857,0.23475044969712905,0.19600902898124836
US-Seg,Prior,GPP,0.5380787643785746,0.5780372114750236,0.16880045703210803
US-Seg,Post,GPP,0.6887761369272742,0.7121713355041933,0.6186594729800375
US-Seg,Prior,NEE,0.4134450188767159,0.4720811590059354,0.5325214556005016
US-Seg,Post,NEE,0.6117090003198602,0.6600135422840101,0.7709029696897122
US-Seg,Prior,Reco,0.606223031218253,0.6355847282861663,-0.020848987504854154
US-Seg,Post,Reco,0.6436069257657636,0.6647757638575212,0.5512959167111942
