Site,Simulation,Flux,Daily_corr,Monthly_corr,Yearly_corr
US-Vcm,Prior,GPP,0.8560213994694724,0.8813745590891807,-0.4598038864486651
US-Vcm,Post,GPP,0.7595011343651835,0.7995851159640401,0.5503149237585377
US-Vcm,Prior,NEE,0.597832444873047,0.650108718911169,-0.02305007333538045
US-Vcm,Post,NEE,0.32046483621243044,0.3971099614304078,0.2982170461594934
US-Vcm,Prior,Reco,0.7025614477808647,0.7623224807474397,-0.033084098232320044
US-Vcm,Post,Reco,0.7575969168446647,0.8077960886251206,-0.030255018728440622
US-Vcp,Prior,GPP,0.6243244399432272,0.6498896410591599,0.8452759785924046
US-Vcp,Post,GPP,0.6790009444791123,0.6012596281533278,0.4528317995673253
US-Vcp,Prior,NEE,0.2751054242250629,0.36573835768686824,0.9584057234199682
US-Vcp,Post,NEE,0.09309438258092666,0.07977159111133929,0.28085792144900407
US-Vcp,Prior,Reco,0.7488120731740798,0.7040958288511662,0.6456814953714928
US-Vcp,Post,Reco,0.8804102630404123,0.7805487308110747,0.6554319259979848
US-Mpj,Prior,GPP,0.546362243357371,0.594962202965232,0.4394980462962331
US-Mpj,Post,GPP,0.6564194726472314,0.6792805069925435,0.44396874829820004
US-Mpj,Prior,NEE,0.17345981428554932,0.19095537147332556,-0.10204810161389641
US-Mpj,Post,NEE,-0.20527370780220774,-0.21216924434515197,0.018866230903141202
US-Mpj,Prior,Reco,0.6455696609789654,0.6778280470430011,0.13569573550443692
US-Mpj,Post,Reco,0.9015813636369965,0.9197290171975512,0.7517129453077331
US-Fuf,Prior,GPP,0.7726269064136347,0.8024212786558947,-0.14690080952549364
US-Fuf,Post,GPP,0.8482506798701931,0.8748075455457136,0.516577321116623
US-Fuf,Prior,NEE,0.5625491004342843,0.5880079676359025,0.33143006831113664
US-Fuf,Post,NEE,0.6514448231304512,0.6688666240595528,0.41792440615095716
US-Fuf,Prior,Reco,0.8748537025021613,0.9037807702177967,0.10547021910798322
US-Fuf,Post,Reco,0.930953845518025,0.9583429243247675,0.9563847559705714
US-Wjs,Prior,GPP,0.6370953140945816,0.6473507818045531,0.48667106454956516
US-Wjs,Post,GPP,0.854518103470799,0.8757908362485127,0.8090608996217348
US-Wjs,Prior,NEE,0.27072286132706824,0.27504949748509494,0.37598403067551855
US-Wjs,Post,NEE,-0.020186648169583644,-0.05674797476694285,-0.11597638895591984
US-Wjs,Prior,Reco,0.7274915340686109,0.7411889498825092,0.17548030057199568
US-Wjs,Post,Reco,0.9387709976732704,0.9569835527694738,0.8791266022100375
US-Ses,Prior,GPP,0.7229444365539311,0.7685246851659213,0.7541094103493369
US-Ses,Post,GPP,0.7850181395821869,0.8164444172111436,0.8767658148052486
US-Ses,Prior,NEE,0.3537306331352673,0.39410878452115633,0.3643943203203502
US-Ses,Post,NEE,0.1423588812614425,0.13479395587280543,0.45709903215859515
US-Ses,Prior,Reco,0.6464203068219849,0.7110047337808557,0.6010252394878515
US-Ses,Post,Reco,0.808557514146556,0.8686216541223242,0.6613146447950725
US-Wkg,Prior,GPP,-0.06189927000219735,-0.08017314815161747,-0.4962350617543206
US-Wkg,Post,GPP,0.729825888650805,0.7709195752422066,-0.14903820630475442
US-Wkg,Prior,NEE,-0.015900815560734926,-0.03438130056425728,-0.42737313574747376
US-Wkg,Post,NEE,0.45099344495385707,0.48911117804755144,-0.6255697982261819
US-Wkg,Prior,Reco,0.30389626538870573,0.3266388269016932,-0.31099881995549883
US-Wkg,Post,Reco,0.8439638637166584,0.8805568117736885,0.44317962555388424
US-SRG,Prior,GPP,0.322081195234779,0.34246791908460766,-0.9320123409821239
US-SRG,Post,GPP,0.508390251133983,0.5427498439091476,-0.9752244434133764
US-SRG,Prior,NEE,0.26602545060414157,0.2822409866024997,-0.9613685367529737
US-SRG,Post,NEE,0.18103288770900272,0.1632118498052479,-0.7891242669725668
US-SRG,Prior,Reco,0.4762521195028573,0.5198545346546781,-0.8251298307157359
US-SRG,Post,Reco,0.7407620708129754,0.8033264551027107,-0.29331223056882383
US-SRM,Prior,GPP,0.2702619312886518,0.28508993949058303,0.23907107044218043
US-SRM,Post,GPP,0.8813291033903788,0.9113493778579835,0.6957225351667107
US-SRM,Prior,NEE,0.27462688575918426,0.2897841335093353,0.5071230492155119
US-SRM,Post,NEE,0.6033458837712233,0.6418201649408617,0.10894856103387472
US-SRM,Prior,Reco,0.541738004579715,0.5713822359036523,-0.28579199471943206
US-SRM,Post,Reco,0.9163888188426277,0.9281620287383676,0.0384131307184846
US-Whs,Prior,GPP,0.41573264456099274,0.42839012830472145,0.4301608956962397
US-Whs,Post,GPP,0.8271486284732397,0.8519131073728101,0.8660513641753976
US-Whs,Prior,NEE,0.3321427596146862,0.34377007807492005,0.5714194281161177
US-Whs,Post,NEE,0.5015364595885946,0.5593519851973238,0.8785083184228412
US-Whs,Prior,Reco,0.6162370058581068,0.6426959966917141,0.2009741012601173
US-Whs,Post,Reco,0.896861001442234,0.9140156925285473,0.5542762500859867
US-Seg,Prior,GPP,0.48086896169428023,0.5093503458117035,0.01869022523995829
US-Seg,Post,GPP,0.6970917544923122,0.7257117096005723,0.544609274523764
US-Seg,Prior,NEE,0.3617446888418494,0.40720866727902055,0.4382212561340106
US-Seg,Post,NEE,0.3731007027015791,0.40453798996267554,0.739201238847418
US-Seg,Prior,Reco,0.555309654572249,0.5794133882527898,-0.16088831915509005
US-Seg,Post,Reco,0.7728527635990446,0.7936189712535767,0.3305491069821467
US-Aud,Prior,GPP,0.6507589041935504,0.6806738569602222,0.0801064006304548
US-Aud,Post,GPP,0.8381467383655324,0.8588032463105283,0.3202390199290259
US-Aud,Prior,NEE,0.5671458258903407,0.5949211565262275,0.6278379036300277
US-Aud,Post,NEE,0.73562379825341,0.7689604300008235,0.29234090730802714
US-Aud,Prior,Reco,0.642380399638787,0.6790610916362678,0.4984948881087055
US-Aud,Post,Reco,0.8773967022786666,0.9087552912849542,0.9187254250433216
